epoch,silhouette_score
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,0.2228081077337265
26,0.2514364719390869
27,0.2905937433242798
28,0.2776116728782654
29,0.26450276374816895
30,0.26224058866500854
31,0.2570887506008148
32,0.24457435309886932
33,0.22911375761032104
34,0.2116968035697937
35,0.24929684400558472
36,0.2621307075023651
37,0.2502569854259491
38,0.23122383654117584
39,0.22138890624046326
40,0.27395397424697876
41,0.26671767234802246
42,0.25776928663253784
43,0.2370549738407135
44,0.2349410504102707
45,0.23149089515209198
46,0.2278933972120285
47,0.3830297589302063
48,0.39602184295654297
49,0.40937814116477966
50,0.4164804518222809
51,0.4126322567462921
52,0.3977396786212921
53,0.3738212287425995
54,0.358165979385376
55,0.3613693118095398
56,0.35916051268577576
57,0.3945479691028595
58,0.3986813426017761
59,0.40796133875846863
60,0.4194001257419586
61,0.42340728640556335
62,0.42351409792900085
63,0.42895179986953735
64,0.43661755323410034
65,0.44325652718544006
66,0.4490203857421875
67,0.45374777913093567
68,0.456633985042572
69,0.45597851276397705
70,0.44664809107780457
71,0.43558475375175476
72,0.4264560043811798
73,0.41791874170303345
74,0.4064697325229645
75,0.39747074246406555
76,0.3904632329940796
77,0.38091617822647095
78,0.36891183257102966
79,0.3597477376461029
80,0.35177335143089294
81,0.34562453627586365
82,0.3449629247188568
83,0.34524762630462646
84,0.3453647196292877
85,0.3462459444999695
86,0.34698325395584106
87,0.34699076414108276
88,0.3458564877510071
89,0.3440779745578766
90,0.34267953038215637
91,0.3394760191440582
92,0.33752962946891785
93,0.33685824275016785
94,0.3363884687423706
95,0.3338867425918579
96,0.3290184736251831
97,0.3238830268383026
98,0.3198407292366028
99,0.3153083622455597
100,0.31071996688842773
101,0.3043251931667328
102,0.29989179968833923
103,0.2948912978172302
104,0.288224995136261
105,0.2820478081703186
106,0.27791520953178406
107,0.27377885580062866
108,0.2700980305671692
109,0.2694889307022095
110,0.2689058780670166
111,0.2674611508846283
112,0.26547160744667053
113,0.2642214894294739
114,0.26391997933387756
115,0.2645473778247833
116,0.26448342204093933
117,0.26512205600738525
118,0.2651873826980591
119,0.2653263211250305
120,0.26575177907943726
121,0.2662437856197357
122,0.2660945653915405
123,0.2656994163990021
124,0.26564982533454895
125,0.2654259502887726
126,0.264861524105072
127,0.26436957716941833
128,0.26454514265060425
129,0.26540419459342957
130,0.2664419412612915
131,0.2672159671783447
132,0.26800617575645447
133,0.26853513717651367
134,0.26904919743537903
135,0.26962780952453613
136,0.2698517441749573
137,0.2701253592967987
138,0.27097997069358826
139,0.27178773283958435
140,0.27267390489578247
141,0.2734750509262085
142,0.27427104115486145
143,0.27534130215644836
144,0.27628037333488464
145,0.2772004008293152
146,0.2781503200531006
147,0.27886825799942017
148,0.27978384494781494
149,0.28084561228752136
150,0.2818990647792816
151,0.2828297019004822
152,0.2836230993270874
153,0.2845183312892914
154,0.2852132320404053
155,0.2857654094696045
156,0.28616514801979065
157,0.28648680448532104
158,0.28688687086105347
159,0.2874123454093933
160,0.28789934515953064
161,0.288423091173172
162,0.28885775804519653
163,0.28924208879470825
164,0.2895592749118805
165,0.28985628485679626
166,0.2901541292667389
167,0.2905403673648834
168,0.29093819856643677
169,0.2913195490837097
170,0.2916705012321472
171,0.29198822379112244
172,0.29228711128234863
173,0.2925812602043152
174,0.292842298746109
175,0.2930937111377716
176,0.2933156490325928
177,0.29351580142974854
178,0.2936994433403015
179,0.2938693165779114
180,0.2940253019332886
181,0.2941685616970062
182,0.2942850887775421
183,0.2943862974643707
184,0.2944694459438324
185,0.29453757405281067
186,0.2945965826511383
187,0.2946518063545227
188,0.2946995496749878
189,0.29474109411239624
190,0.2947748005390167
191,0.29480141401290894
192,0.29482245445251465
193,0.29483893513679504
194,0.2948504388332367
195,0.29485884308815
196,0.2948641777038574
197,0.2948671281337738
198,0.2948683798313141
199,0.29486873745918274
200,0.2948688268661499
